actor,classify,count,director,image,image_url,inq,last_updated,play,score,title1,title2,title3
孔侑YooGong/郑有美Yu-miJeong...,2011/韩国/剧情,355572人评价,黄东赫Dong-hyukHwang,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,,,9.2,熔炉,도가니,/无声呐喊(港)/漩涡
刘德华/梁朝伟/黄秋生,2002/香港/剧情犯罪悬疑,520530人评价,刘伟强/麦兆辉,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,香港电影史上永不过时的杰作。,,[可播放],9.1,无间道,無間道,/InfernalAffairs/Mougaandou
,,455686人评价,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,满满温情的高雅喜剧。,,,9.2,触不可及,Intouchables,/闪亮人生(港)/逆转人生(台)
威尔·史密斯WillSmith...,2006/美国/剧情传记家庭,678842人评价,加布里尔·穆奇诺GabrieleMuccino,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1312700744.jpg,平民励志片。 ,,[可播放],9.0,当幸福来敲门,ThePursuitofHappyness,/寻找快乐的故事(港)/追求快乐
费...,1939/美国/剧情历史爱情战争,326541人评价,维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,Tomorrow is another day.,,[可播放],9.2,乱世佳人,GonewiththeWind,/飘
玛德琳·卡罗尔MadelineCarroll/卡...,2010/美国/剧情喜剧爱情,728955人评价,罗伯·莱纳RobReiner,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,真正的幸福是来自内心深处。,,[可播放],9.0,怦然心动,Flipped,/萌动青春/青春萌动
金妮弗·...,2016/美国/喜剧动画冒险,688067人评价,拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,,[可播放],9.1,疯狂动物城,Zootopia,/优兽大都会(港)/动物方城市(台)
安东娜拉·塔莉Antonel...,1988/意大利法国/剧情爱情,359868人评价,朱塞佩·托纳多雷GiuseppeTornatore,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,,,9.1,天堂电影院,NuovoCinemaParadiso,/星光伴我心(港)/新天堂乐园(台)
克里斯蒂安·贝尔Christ...,2008/美国英国/剧情动作科幻犯罪惊悚,418969人评价,克里斯托弗·诺兰ChristopherNolan,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,无尽的黑暗。,,[可播放],9.1,蝙蝠侠：黑暗骑士,TheDarkKnight,/蝙蝠侠前传2：黑暗骑士/黑暗骑士(台)
葛优YouGe/巩俐LiGong/姜武WuJiang,1994/中国大陆香港/剧情历史家庭,347112人评价,张艺谋YimouZhang,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,张艺谋最好的电影。,,[可播放],9.1,活着,None,/人生/Lifetimes
亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,1957/美国/剧情,209434人评价,SidneyLumet,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,1957年的理想主义。 ,,[可播放],9.4,十二怒汉,12AngryMen,/12怒汉/十二怒汉
姜文WenJiang/香川照之TeruyukiKagawa/...,2000/中国大陆/剧情历史战争,290717人评价,姜文WenJiang,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg,对敌人的仁慈，就是对自己残忍。,,,9.2,鬼子来了,None,/DevilsontheDoorstep
苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...,2012/美国台湾英国加拿大/剧情奇幻冒险,702791人评价,李安AngLee,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,瑰丽壮观、无人能及的冒险之旅。,,[可播放],9.0,少年派的奇幻漂流,LifeofPi,/少年Pi的奇幻漂流/漂流少年Pi
维果·莫腾森ViggoMortensen/...,2003/美国新西兰/剧情动作奇幻冒险,347420人评价,彼得·杰克逊PeterJackson,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,史诗的终章。,,[可播放],9.1,指环王3：王者无敌,TheLordoftheRings:TheReturnoftheKing,/魔戒三部曲：王者再临(台/港)
爱德华·诺顿EdwardNorton/布拉...,1999/美国德国/剧情动作悬疑惊悚,463339人评价,大卫·芬奇DavidFincher,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,,,9.0,搏击俱乐部,FightClub,/搏击会(港)/斗阵俱乐部(台)
田中真弓MayumiTanaka/横泽启子Ke...,1986/日本/动画奇幻冒险,404620人评价,宫崎骏HayaoMiyazaki,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,对天空的追逐，永不停止。 ,,,9.0,天空之城,天空の城ラピュタ,/TenkûnoshiroRapyuta/Laputa:CastleintheSky
查尔斯·劳顿CharlesLaughton/...,1957/美国/剧情犯罪悬疑,137878人评价,比利·怀尔德BillyWilder,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,比利·怀德满分作品。,,[可播放],9.6,控方证人,WitnessfortheProsecution,/雄才伟略/情妇
爱德...,2009/美国/剧情喜剧动画冒险,616639人评价,彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2364094053.jpg,最后那些最无聊的事情，才是最值得怀念的。 ,,[可播放],8.9,飞屋环游记,Up,/冲天救兵(港)/天外奇迹(台)
周星驰StephenChow/吴孟达ManTatNg...,1995/香港中国大陆/喜剧爱情奇幻冒险,511885人评价,刘镇伟JeffreyLau,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg,旷古烁今。,,[可播放],8.9,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,/西游记101回月光宝盒/齐天大圣东游记
奥黛丽·赫本AudreyHepburn/格...,1953/美国/喜剧剧情爱情,468923人评价,威廉·惠勒WilliamWyler,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,爱情哪怕只有一天。,,[可播放],9.0,罗马假日,RomanHoliday,/金枝玉叶(港)/罗马假期(台)
,,276471人评价,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,别样人生。,,[可播放],9.1,窃听风暴,DasLebenderAnderen,/他人的生活/别人的生活
JasonFlemyng/DexterFletcher/NickMoran,1998/英国/剧情喜剧犯罪,318357人评价,GuyRitchie,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,,,9.1,两杆大烟枪,"Lock,StockandTwoSmokingBarrels",/够姜四小强(港)/两根枪管(台)
阿米尔·汗AamirKhan/法缇玛...,2016/印度/剧情传记运动家庭,613671人评价,涅提·蒂瓦里NiteshTiwari,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,,[可播放],9.1,摔跤吧！爸爸,Dangal,/我和我的冠军女儿(台)/打死不离3父女(港)
杰克·尼科尔森JackNichols...,1975/美国/剧情,322028人评价,米洛斯·福尔曼MilošForman,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,自由万岁。,,,9.0,飞越疯人院,OneFlewOvertheCuckoo'sNest,/飞越杜鹃窝(台)/飞越喜鹊巢
阿尔·帕西诺AlPacino/克里斯...,1992/美国/剧情,397107人评价,马丁·布莱斯MartinBrest,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p925123037.jpg,史上最美的探戈。,,[可播放],9.0,闻香识女人,ScentofaWoman,/女人香/女人的芳香
宋康昊Kang-hoSong/吴达洙Dal-suO...,2013/韩国/剧情,273378人评价,杨宇硕Woo-seokYang,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,电影的现实意义大过电影本身。,,[可播放],9.2,辩护人,변호인,/逆权大状(港)/正义辩护人(台)
倍赏千惠子ChiekoBaishô/木村拓...,2004/日本/动画奇幻冒险,436929人评价,宫崎骏HayaoMiyazaki,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,带着心爱的人在天空飞翔。,,,8.9,哈尔的移动城堡,ハウルの動く城,/呼啸山城/霍尔的移动城堡
罗宾·威廉姆斯RobinWilliams/罗伯...,1989/美国/剧情,341231人评价,彼得·威尔PeterWeir,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,,[可播放],9.0,死亡诗社,DeadPoetsSociety,/暴雨骄阳(港)/春风化雨(台)
娜塔莉·波特曼NataliePor...,2005/美国英国德国/剧情动作科幻惊悚,514859人评价,詹姆斯·麦克特格JamesMcTeigue,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,一张面具背后的理想与革命。,,[可播放],8.8,V字仇杀队,VforVendetta,/V煞(港)/V怪客(台)
JohnChisholm/Mandy-RaeCruikshank/Char...,2009/美国/纪录片,211648人评价,LouiePsihoyos,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,海豚的微笑，是世界上最高明的伪装。,,[可播放],9.3,海豚湾,TheCove,/血色海湾(台)/海湾
阿尔·帕西诺A...,1974/美国/剧情犯罪,231265人评价,弗朗西斯·福特·科波拉FrancisFordCoppola,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,优雅的孤独。,,[可播放],9.1,教父2,TheGodfather:PartⅡ,/教父续集/教父II
伊利亚·伍德ElijahWood/西恩...,2002/美国新西兰/剧情动作奇幻冒险,325793人评价,彼得·杰克逊PeterJackson,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,承前启后的史诗篇章。,,[可播放],9.0,指环王2：双塔奇兵,TheLordoftheRings:TheTwoTowers,/魔戒二部曲：双城奇谋/指环王II：双塔
伊利亚·伍德ElijahWood/西恩...,2001/新西兰美国/剧情动作奇幻冒险,364885人评价,彼得·杰克逊PeterJackson,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,传说的开始。,,[可播放],8.9,指环王1：魔戒再现,TheLordoftheRings:TheFellowshipoftheRing,/魔戒首部曲：魔戒现身/指环王I：护戒使者
罗素·克劳RussellCrowe/艾德·哈...,2001/美国/传记剧情,363928人评价,朗·霍华德RonHoward,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,爱是一切逻辑和原由。,,[可播放],8.9,美丽心灵,ABeautifulMind,/有你终生美丽(港)/美丽境界(台)
郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...,1994/台湾美国/剧情家庭,249873人评价,李安AngLee,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,人生不能像做菜，把所有的料都准备好了才下锅。,,,9.1,饮食男女,飲食男女,/EatDrinkManWoman
中山美穗MihoNakayama/丰川悦司Ets...,1995/日本/剧情爱情,445621人评价,岩井俊二ShunjiIwai,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,暗恋的极致。,,[可播放],8.8,情书,LoveLetter,/WhenICloseMyEyes/LettersofLove
